Gene_ID	Gene_Name	Sample_1	Sample_10	Sample_11	Sample_12	Sample_2	Sample_3	Sample_4	Sample_5	Sample_6	Sample_7	Sample_8	Sample_9
ENSG00000175463.12	TBC1D10C	0.151874	0.157267	0.118771	0.094409	0.015539	0.03559	0.170485	0.049808	0.06477	0.21794	0.18623	0.151112
ENSG00000175467.15	SART1	16.476977	12.827158	13.013241	14.494387	18.72326	18.197852	14.291126	15.268275	15.891637	16.05953	13.686856	14.477589
ENSG00000175470.20	PPP2R2D	7.644923	9.452761	7.509431	11.57786	7.827339	8.815897	8.595219	9.647837	9.06177	8.467843	7.515605	7.930688
ENSG00000175471.20	MCTP1	6.313719	23.667805	23.565858	25.500204	4.814753	5.812241	17.957588	20.058663	19.822934	8.572858	7.827195	7.690568
ENSG00000175482.9	POLD4	6.348914	12.833112	13.492688	10.304948	7.369464	5.554594	11.096835	10.817614	10.792003	9.370554	12.490152	13.30484
ENSG00000175485.3	OR52W1	0.005759	0.041232	0	0	0	0	0	0	0	0	0	0
ENSG00000175489.10	LRRC25	0	0.035955	0	0.018343	0	0	0	0.023213	0	0	0	0
ENSG00000175497.17	DPP10	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000175505.11	CLCF1	5.453952	4.356857	3.191176	4.086258	5.130733	4.840788	5.409707	5.541105	5.343642	3.0155	2.303147	2.617507
ENSG00000175509.8	ACRP1	0.054687	0	0	0.022961	0	0	0	0	0.088739	0.11199	0.023929	0.012296
ENSG00000175513.10	TSGA10IP	0	0	0	0.135025	0.012566	0	0.01943	0	0.034876	0	0.017167	0.009765
ENSG00000175514.2	GPR152	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000175518.8	UBQLNL	0	0.036357	0.01698	0.016853	0	0	0.034543	0.030242	0	0.019721	0.091661	0.032165
ENSG00000175520.9	UBQLN3	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000175535.6	PNLIP	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000175536.7	LIPT2	0.258443	0.395958	0.548862	0.626712	0.350781	0.515177	0.329068	0.305702	0.514405	0.485918	0.357158	0.30805
